strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
MACD,AUDJPY,H4,60,43.33,6.46,13.39,0.693,1.347,-10.72,1.11,0.6451,0.4337,10646.12
Swing_SR,XAUUSD,H4,9,66.67,2.41,4.91,0.691,61.6684,-4.57,1.38,1.7774,2.3222,10241.49
Swing_SR,NZDJPY,H4,9,66.67,2.31,4.7,0.6713,26.0327,-2.06,1.37,0.6288,1.3271,10231.48
Swing_SR,AUDUSD,H1,52,63.46,4.65,9.56,0.6516,0.9687,-16.49,1.12,0.298,0.5297,10465.49
EMA_Cross,AUDUSD,D1,8,37.5,2.2,4.47,0.6275,2.4425,-2.3,1.4,1.6707,0.7029,10220.25
Parabolic_SAR,NZDJPY,D1,14,42.86,2.48,5.03,0.6215,0.4698,-4.6,1.25,1.3051,0.7449,10247.6
Bollinger,EURJPY,D1,6,50.0,2.26,4.59,0.6154,0.4288,-2.93,1.44,1.1728,0.756,10226.07
MACD,EURAUD,D1,10,50.0,2.68,5.46,0.5978,0.3639,-5.08,1.36,1.0724,0.7732,10268.41
Swing_SR,EURGBP,D1,4,75.0,1.21,2.44,0.5853,0.0,-2.06,1.57,0.5591,1.0225,10121.05
Stochastic,XAUUSD,D1,11,54.55,3.88,7.95,0.5604,76.2207,-4.0,1.37,5.9562,4.2883,10388.39
Parabolic_SAR,GBPCHF,H4,67,47.76,5.04,10.37,0.5577,0.9168,-7.31,1.09,0.3481,0.2869,10503.83
Swing_SR,EURJPY,H4,19,63.16,2.38,4.83,0.5267,12.8086,-4.65,1.18,0.4262,0.6164,10237.93
EMA_Cross,XAGUSD,D1,10,40.0,2.2,4.45,0.5198,0.4553,-5.41,1.27,11.3776,9.0336,10219.53
Swing_SR,GBPUSD,H1,46,65.22,3.36,6.85,0.517,0.8082,-6.88,1.11,0.2108,0.3642,10335.76
Bollinger,GBPUSD,H4,41,51.22,4.78,9.82,0.5165,0.9884,-9.51,1.12,0.4564,0.4219,10477.61
EMA_Cross,XRPUSD,D1,8,50.0,2.36,4.76,0.4713,0.6621,-7.28,1.31,6.9334,6.3141,10235.82
MACD,XAUUSD,D1,9,44.44,2.32,4.71,0.4686,0.2688,-3.76,1.38,4.1721,3.0148,10231.85
Swing_SR,GBPJPY,H1,50,70.0,2.68,5.45,0.4559,0.687,-11.31,1.09,0.177,0.3161,10268.12
Parabolic_SAR,XAGUSD,D1,7,42.86,1.38,2.8,0.4537,104.018,-2.01,1.21,16.8806,7.7036,10138.41
Parabolic_SAR,AUDJPY,D1,11,45.45,1.08,2.18,0.4426,0.4214,-5.65,1.11,1.5747,1.0337,10108.09
Bollinger,USDJPY,H4,33,48.48,3.8,7.77,0.4371,0.5225,-12.65,1.12,0.4479,0.4063,10379.72
MACD,EURUSD,D1,13,38.46,1.85,3.75,0.4224,0.4883,-5.04,1.17,1.0346,0.63,10184.99
MACD,NZDUSD,D1,9,44.44,1.68,3.4,0.4159,13.67,-4.09,1.2,1.746,0.929,10167.79
Stochastic,USDCHF,D1,7,57.14,3.16,6.45,0.4123,66.3124,-4.01,1.51,1.4682,1.2107,10316.33
MACD,GBPJPY,H4,50,44.0,0.98,1.97,0.3831,0.4485,-12.17,1.02,0.407,0.3017,10097.71
Bollinger,GBPUSD,D1,5,60.0,1.09,2.2,0.3802,149.5161,-2.03,1.26,1.0377,1.1166,10108.92
RSI,EURGBP,H4,22,54.55,1.28,2.58,0.3794,7.6193,-6.97,1.06,0.2502,0.2707,10127.58
MACD,EURGBP,D1,13,46.15,1.74,3.52,0.374,0.4337,-6.2,1.14,0.6947,0.4535,10173.76
RSI,XRPUSD,H4,26,50.0,3.01,6.1,0.3707,9.1195,-6.12,1.11,4.1775,3.1388,10301.16
Bollinger,AUDJPY,D1,5,60.0,1.52,3.08,0.3704,19.5657,-2.05,1.37,1.4336,1.4194,10152.25
